ID,STIX ID,name,description,url,created,last modified,tactics,platforms
AML.T0040,attack-pattern--90a420d4-3f03-4800-86c0-223c4376804a,AI Model Inference API Access,"Adversaries may gain access to a model via legitimate access to the inference API.
Inference API access can be a source of information to the adversary ([Discover ML Model Ontology](/techniques/AML.T0013), [Discover ML Model Family](/techniques/AML.T0014)), a means of staging the attack ([Verify Attack](/techniques/AML.T0042), [Craft Adversarial Data](/techniques/AML.T0043)), or for introducing data to the target system for Impact ([Evade ML Model](/techniques/AML.T0015), [Erode ML Model Integrity](/techniques/AML.T0031)).

Many systems rely on the same models provided via an inference API, which means they share the same vulnerabilities. This is especially true of foundation models which are prohibitively resource intensive to train. Adversaries may use their access to model APIs to identify vulnerabilities such as jailbreaks or hallucinations and then target applications that use the same models.",https://atlas.mitre.org/techniques/AML.T0040,13 May 2021,01 October 2024,ML Model Access,ATLAS
AML.T0008,attack-pattern--01203e88-6c9a-4611-b278-7ba3c604a234,Acquire Infrastructure,"Adversaries may buy, lease, or rent infrastructure for use throughout their operation.
A wide variety of infrastructure exists for hosting and orchestrating adversary operations.
Infrastructure solutions include physical or cloud servers, domains, mobile devices, and third-party web services.
Free resources may also be used, but they are typically limited.
Infrastructure can also include physical components such as countermeasures that degrade or disrupt AI components or sensors, including printed materials, wearables, or disguises.

Use of these infrastructure solutions allows an adversary to stage, launch, and execute an operation.
Solutions may help adversary operations blend in with traffic that is seen as normal, such as contact to third-party web services.
Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down.",https://atlas.mitre.org/techniques/AML.T0008,13 May 2021,01 October 2024,Resource Development,ATLAS
AML.T0002,attack-pattern--aa17fe8d-62f8-4c4c-b7a2-6858c82dd84b,Acquire Public ML Artifacts,"Adversaries may search public sources, including cloud storage, public-facing services, and software or data repositories, to identify machine learning artifacts.
These machine learning artifacts may include the software stack used to train and deploy models, training and testing data, model configurations and parameters.
An adversary will be particularly interested in artifacts hosted by or associated with the victim organization as they may represent what that organization uses in a production environment.
Adversaries may identify artifact repositories via other resources associated with the victim organization (e.g. [Search Victim-Owned Websites](/techniques/AML.T0003) or [Search for Victim's Publicly Available Research Materials](/techniques/AML.T0000)).
These ML artifacts often provide adversaries with details of the ML task and approach.

ML artifacts can aid in an adversary's ability to [Create Proxy ML Model](/techniques/AML.T0005).
If these artifacts include pieces of the actual model in production, they can be used to directly [Craft Adversarial Data](/techniques/AML.T0043).
Acquiring some artifacts requires registration (providing user details such email/name), AWS keys, or written requests, and may require the adversary to [Establish Accounts](/techniques/AML.T0021).

Artifacts might be hosted on victim-controlled infrastructure, providing the victim with some information on who has accessed that data.
",https://atlas.mitre.org/techniques/AML.T0002,13 May 2021,13 May 2021,Resource Development,ATLAS
AML.T0006,attack-pattern--79460396-01b4-4e91-8695-7d26df1abb95,Active Scanning,"An adversary may probe or scan the victim system to gather information for targeting.
This is distinct from other reconnaissance techniques that do not involve direct interaction with the victim system.
",https://atlas.mitre.org/techniques/AML.T0006,13 May 2021,18 January 2023,Reconnaissance,ATLAS
AML.T0016.000,attack-pattern--3250c828-3852-4efb-857d-f7ca5c1a1ebc,Adversarial ML Attack Implementations,"Adversaries may search for existing open source implementations of machine learning attacks. The research community often publishes their code for reproducibility and to further future research. Libraries intended for research purposes, such as CleverHans, the Adversarial Robustness Toolbox, and FoolBox, can be weaponized by an adversary. Adversaries may also obtain and use tools that were not originally designed for adversarial ML attacks as part of their attack.",https://atlas.mitre.org/techniques/AML.T0016.000,13 May 2021,13 May 2021,Resource Development,ATLAS
AML.T0017.000,attack-pattern--4f0f548a-5f39-4dc7-b5e6-c84d824e39bd,Adversarial ML Attacks,"Adversaries may develop their own adversarial attacks.
They may leverage existing libraries as a starting point ([Adversarial ML Attack Implementations](/techniques/AML.T0016.000)).
They may implement ideas described in public research papers or develop custom made attacks for the victim model.
",https://atlas.mitre.org/techniques/AML.T0017.000,25 October 2023,25 October 2023,Resource Development,ATLAS
AML.T0018,attack-pattern--c704a49c-abf0-4258-9919-a862b1865469,Backdoor ML Model,"Adversaries may introduce a backdoor into a ML model.
A backdoored model operates performs as expected under typical conditions, but will produce the adversary's desired output when a trigger is introduced to the input data.
A backdoored model provides the adversary with a persistent artifact on the victim system.
The embedded vulnerability is typically activated at a later time by data samples with an [Insert Backdoor Trigger](/techniques/AML.T0043.004)
",https://atlas.mitre.org/techniques/AML.T0018,13 May 2021,13 May 2021,"ML Attack Staging, Persistence",ATLAS
AML.T0043.001,attack-pattern--c4e52005-7416-45c4-9feb-8cd5fd34f70a,Black-Box Optimization,"In Black-Box attacks, the adversary has black-box (i.e. [AI Model Inference API Access](/techniques/AML.T0040) via API access) access to the target model.
With black-box attacks, the adversary may be using an API that the victim is monitoring.
These attacks are generally less effective and require more inferences than [White-Box Optimization](/techniques/AML.T0043.000) attacks, but they require much less access.
",https://atlas.mitre.org/techniques/AML.T0043.001,13 May 2021,13 May 2021,ML Attack Staging,ATLAS
AML.T0043.002,attack-pattern--241ad2a0-3fe2-4912-bb77-b79cee573fd2,Black-Box Transfer,"In Black-Box Transfer attacks, the adversary uses one or more proxy models (trained via [Create Proxy ML Model](/techniques/AML.T0005) or [Train Proxy via Replication](/techniques/AML.T0005.001)) they have full access to and are representative of the target model.
The adversary uses [White-Box Optimization](/techniques/AML.T0043.000) on the proxy models to generate adversarial examples.
If the set of proxy models are close enough to the target model, the adversarial example should generalize from one to another.
This means that an attack that works for the proxy models will likely then work for the target model.
If the adversary has [AI Model Inference API Access](/techniques/AML.T0040), they may use [Verify Attack](/techniques/AML.T0042) to confirm the attack is working and incorporate that information into their training process.
",https://atlas.mitre.org/techniques/AML.T0043.002,13 May 2021,12 January 2024,ML Attack Staging,ATLAS
AML.T0050,attack-pattern--716d3a6b-2f8c-4a1f-85f7-d884bb7b2800,Command and Scripting Interpreter,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.

There are also cross-platform interpreters such as Python, as well as those commonly associated with client applications such as JavaScript and Visual Basic.

Adversaries may abuse these technologies in various ways as a means of executing arbitrary commands. Commands and scripts can be embedded in Initial Access payloads delivered to victims as lure documents or as secondary payloads downloaded from an existing C2. Adversaries may also execute commands through interactive terminals/shells, as well as utilize various Remote Services in order to achieve remote Execution.
",https://atlas.mitre.org/techniques/AML.T0050,28 February 2023,12 October 2023,Execution,ATLAS
