source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified
AML.M0023,AI Bill of Materials,course-of-action--1f63b56d-034f-477d-ab49-399c1aa1a22a,mitigation,mitigates,AML.T0020,Poison Training Data,attack-pattern--0ec538ca-589b-4e42-bcaa-06097a0d679f,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--505db5cc-8d11-4811-8e90-006612c440d0,01 October 2024,01 October 2024
AML.M0023,AI Bill of Materials,course-of-action--1f63b56d-034f-477d-ab49-399c1aa1a22a,mitigation,mitigates,AML.T0019,Publish Poisoned Datasets,attack-pattern--f4fc2abd-71a4-401a-a742-18fc5aeb4bc3,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--9f6e8c64-bd4d-42cc-9a5e-9fc13646c437,01 October 2024,01 October 2024
AML.M0023,AI Bill of Materials,course-of-action--1f63b56d-034f-477d-ab49-399c1aa1a22a,mitigation,mitigates,AML.T0058,Publish Poisoned Models,attack-pattern--e3b9d41a-d2f9-4825-942f-1c4a30b4d2f9,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--f49686fb-e313-4b3a-8217-e389b6553316,01 October 2024,01 October 2024
AML.M0023,AI Bill of Materials,course-of-action--1f63b56d-034f-477d-ab49-399c1aa1a22a,mitigation,mitigates,AML.T0011.000,Unsafe ML Artifacts,attack-pattern--be6ef5c5-1ecb-486d-9743-42085bd2c256,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--49a027cf-833c-4f17-9b4c-0fdd04274e48,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0040,AI Model Inference API Access,attack-pattern--90a420d4-3f03-4800-86c0-223c4376804a,technique,Telemetry logging can help audit API usage of the model.,relationship--6dbfe2fe-3636-4656-aaa3-1f6f985f751a,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0051.000,Direct,attack-pattern--d911e8cb-0601-42f1-90de-7ce0b21cd578,technique,Telemetry logging can help identify if unsafe prompts have been submitted to the LLM.,relationship--e2ec223a-c3ca-4bf7-a167-f13e6645aae6,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0024,Exfiltration via ML Inference API,attack-pattern--b07d147f-51c8-4eb6-9a05-09c86762a9c1,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--0189dc45-3210-491f-8099-11fa3447740b,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0024.002,Extract ML Model,attack-pattern--f78e0ac3-6d72-42ed-b20a-e10d8c752cf6,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--34b01208-4b99-4099-bf6a-61f172bcf048,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0051.001,Indirect,attack-pattern--a4a55526-2f1f-403b-9691-609e46381e17,technique,Telemetry logging can help identify if unsafe prompts have been submitted to the LLM.,relationship--767ad4ac-4061-4dc7-a179-4f983c9e3582,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0024.000,Infer Training Data Membership,attack-pattern--86b5f486-afb8-4aa9-991f-0e24d5737f0c,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--58bb8cef-12fc-4b51-ba19-308805a65015,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0024.001,Invert ML Model,attack-pattern--e19c6f8a-f1e2-46cc-9387-03a3092f01ed,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--61bf5a36-058b-4c1f-9717-73cd06ee702d,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0051,LLM Prompt Injection,attack-pattern--19cd2d12-66ff-487c-a05c-e058b027efc9,technique,Telemetry logging can help identify if unsafe prompts have been submitted to the LLM.,relationship--7350b9b9-0754-4b6a-a1b6-961abb7b65cd,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0047,ML-Enabled Product or Service,attack-pattern--b5626410-b33d-4487-9c0f-2b7d844b8e95,technique,Telemetry logging can help identify if sensitive model information has been sent to an attacker.,relationship--d221f109-20ae-4067-8dee-982f89fc01d6,01 October 2024,01 October 2024
AML.M0024,AI Telemetry Logging,course-of-action--fa5108b2-3dc8-42dc-93a3-902f1bf74521,mitigation,mitigates,AML.T0005.001,Train Proxy via Replication,attack-pattern--a3660a2d-f6e5-4f1b-9618-332cceb389c8,technique,Telemetry logging can help identify if a proxy training dataset has been exfiltrated.,relationship--f1398de1-0015-438b-9771-fc0945cdd2c8,01 October 2024,01 October 2024
AML.M0015,Adversarial Input Detection,course-of-action--0ed2ef71-cdc9-4eef-8432-1c3dadbdda20,mitigation,mitigates,AML.T0043.001,Black-Box Optimization,attack-pattern--c4e52005-7416-45c4-9feb-8cd5fd34f70a,technique,"Monitor queries and query patterns to the target model, block access if suspicious queries are detected.
",relationship--51024f40-3973-45e7-9e4b-0d44b96494a6,12 April 2023,12 October 2023
AML.M0015,Adversarial Input Detection,course-of-action--0ed2ef71-cdc9-4eef-8432-1c3dadbdda20,mitigation,mitigates,AML.T0029,Denial of ML Service,attack-pattern--8f644f37-e2e6-468e-b720-f395b8c27fbc,technique,"Assess queries before inference call or enforce timeout policy for queries which consume excessive resources.
",relationship--5b01cc8b-0726-40cd-9236-64a0861b9ced,12 April 2023,12 October 2023
AML.M0015,Adversarial Input Detection,course-of-action--0ed2ef71-cdc9-4eef-8432-1c3dadbdda20,mitigation,mitigates,AML.T0031,Erode ML Model Integrity,attack-pattern--8735735d-c09d-4298-8e64-9a2b6168a74c,technique,"Incorporate adversarial input detection into the pipeline before inputs reach the model.
",relationship--6779bab3-aa88-40cd-8da3-43dbf5775f94,12 April 2023,12 October 2023
AML.M0015,Adversarial Input Detection,course-of-action--0ed2ef71-cdc9-4eef-8432-1c3dadbdda20,mitigation,mitigates,AML.T0015,Evade ML Model,attack-pattern--071df654-813a-4708-85dc-f715f785d37f,technique,"Prevent an attacker from introducing adversarial data into the system.
",relationship--7da0d729-7305-4768-a378-c67e085b7266,12 April 2023,12 October 2023
